Keyword,Search_Volume,Total_Results,BSR_Min,BSR_Avg,BSR_Max,Price_Min,Price_Avg,Price_Max,Reviews_Min,Reviews_Avg,Reviews_Max,Sales_Min,Sales_Avg,Sales_Max,Revenue_Min,Revenue_Avg,Revenue_Max,Revenue_Total,Oppurtunity_Score,Use
ctr shoes safety shoes,n/a,n/a,134,10136,15540,327,2770,6249,0,102,487,4,43,122,3996,16495,39894,49486,2,NO
cut shoe shoe,n/a,6000,5,2924,7515,232,635,1398,0,298,2413,8,62,368,3592,22598,85376,203378,6,YES
dance shoes ballet shoes,n/a,4000,6311,37401,86865,510,1086,2800,0,2,11,0,3,10,0,3039,7950,30389,1,NO
dancer shoes dancer shoes,n/a,826,6141,135387,593503,449,1410,4499,0,7,48,0,4,10,0,3690,8400,36896,3,NO
dc shoes,n/a,1000,7827,22391,42696,1191,2538,3782,0,9,41,1,4,8,2382,8666,17256,86664,3,NO
dc shoes skate shoe,n/a,155,12567,183221,600878,1091,3640,7390,0,5,17,0,1,5,0,5386,36950,48470,3,NO
decathlon shoes football shoes,n/a,3,6455,63885,257347,699,2319,4879,0,20,145,0,3,13,0,7051,21957,70513,2,NO
didas shoes cricket shoes,n/a,50,960,37750,83910,1125,4534,10890,0,4,20,1,12,44,3799,24747,87377,197973,2,NO
egoss shoes formal shoes,n/a,207,1462,75487,154613,699,759,999,0,36,178,0,7,30,0,6413,29970,32067,1,NO
emosis shoes casual shoes,n/a,324,4,9134,35671,380,472,499,1,98,322,2,90,390,998,36381,148200,363810,6,YES
escort shoes sports shoes,n/a,100000,6,43,116,276,503,825,0,744,3197,124,222,351,34224,119951,289575,1079561,5,YES
espadrilles shoeschainshoes,n/a,n/a,13034,18862,27525,544,981,1364,0,5,14,2,4,5,1088,4016,6820,12048,2,NO
evoknit shoes running shoes,n/a,177,20068,56406,152221,2399,3874,7199,0,1,4,0,1,3,0,6102,21597,48814,1,NO
farmal shoes long shoes,n/a,6000,105,2522,13408,449,640,1468,2,335,1607,5,64,130,2495,47805,168820,478051,7,YES
fashion shoes casual shoes,n/a,100000,1,519,2616,299,497,899,3,627,3188,20,204,532,5980,108165,265468,1081647,4,YES
